"All destinations","Destinations"
"Click the link below and make sure you will enter all the requested details. These details are necessary to confirm your booking and send you the voucher.","Click the link below and make sure you will enter all the requested details. These details are necessary to confirm your booking and send you the voucher."
"Get in touch","Entrer en contact"
"Our local and experienced support team will assist you from 8am. to 7pm. (GMT-3)","Notre équipe d'assistance locale et expérimentée vous assiste du lundi au vendredi de 9h à 20h et le samedi de 9h à 14h (GMT-3)."
"Phone","Téléphone"
"Follow us","Suivez-nous"
"You are receiving this email because you expressed interest in Daytours4u.com updates","Vous recevez cet email parce que vous avez manifesté de l'intérêt pour les mises à jour de Daytours4u.com"
"Unsuscribe newsletter","Se désabonner de la newsletter"
"Update subscription preferences","Mettre à jour les préférences de l'abonnement"
"© Daytours4u 2018. All rights reserved","© Daytours4u 2019. Tous droits réservés"
"to join our Newsletter","rejoindre notre newsletter"
"Invite a friend","Invite un ami"
"Thanks %customer_name for your order","Merci %customer_name pour votre commande"
"Your order","Votre commande"
"Your order <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> has been created","Votre commande <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> a été créé"
"Your Purchased","Votre acheté"
"You may also like","Tu pourrais aussi aimer"
"I want my code","Je veux mon code"
"Hello %firstName %lastName","Hello %firstName %lastName"
"Items in your shopping bag","Produits dans votre shopping cart"
"You're welcome to discover South America with Daytours4u. Find and book any experience in Daytours4u by <a style=""color:#acaeb0 !important;"" href=""%account_url"">Login</a> in our website with your e-mail and password.","Nous vous invitons à découvrir l'Amérique du Sud avec Daytours4u. Retrouvez et réservez toute expérience chez Daytours4u en vous <a style=""color:#acaeb0 !important;"" href=""%account_url"">inscrivant-se</a> sur notre site avec votre adresse e-mail et votre mot de passe."
"Complete your order now","Complétez votre réservation maintenant"
"Need assistance with this order?","Besoin d'aide pour cette commande?"
"Call us or chat with us","Appelez-nous ou discutez avec nous"
"Thank you for your subscription.","Merci de votre inscription!, nous lui enverrons un e-mail avec votre code de réduction."
"Optional","Optionnel"
"You already have an account with us. Sign in or continue as guest.","Vous avez déjà un compte avec nous. Connectez-vous ou continuez en tant qu'invité."
"Forgot Your Password?","Mot de passe oublié?"
"You can create an account after checkout.","Vous pouvez créer un compte après le paiement."
"Email Address","Email"
"We'll send your order confirmation here.","Nous enverrons votre confirmation de commande ici."
"Invalid login or password.","Nom d'utilisateur ou mot de passe incorrect."
"A letter with further instructions will be sent to your email.","Une lettre contenant des instructions supplémentaires sera envoyée à votre adresse email."
"Thank you for your order from %store_name.","Merci pour votre commande de %store_name."
"I have read and agree to the ","J'ai lu et accepté les "
"Create account on Daytours4u","Créer un compte sur Daytours4u"
"Your information was updated successfully.","Vos informations ont été mises à jour avec succès."
"Order edited successfully.","Commande modifiée avec succès."
"The order %1 was completed, you can not edit the information again.","La commande %1 a été complétée, vous ne pouvez plus modifier les informations."
"Notes","Notes"
"Meeting point","Point de rencontre"
"Meeting hour","Heure de rendez-vous"
"Provider phone","Téléphone du fournisseur"
"Date are not available. Please check again","Date are not available. Please check again"
